RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodSeconds,simulationTime,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,SimulationDuration
3793080295,1,3,2000,3000,600,600,2999,2716,233,50,0,0,2.26667
3793080295,1,3,4000,3000,600,600,2999,2716,233,50,0,0,2.21667
3793080295,1,3,6000,3000,600,600,2999,2065,171,44,719,0,2.15
3793080295,1,3,8000,3000,600,600,3000,1028,63,22,1887,0,2.26667
3793080295,1,3,10000,3000,600,600,3000,509,17,0,2474,0,2.2
3793080295,1,4,3000,3000,600,600,3000,2653,342,5,0,0,2.25
3793080295,1,4,2000,3000,600,600,3000,2608,387,5,0,0,2.1
3793080295,1,4,4000,3000,600,600,3000,2703,281,16,0,0,2.13333
3793080295,1,4,6000,3000,600,600,2997,2376,419,202,0,0,2.2
3793080295,1,4,8000,3000,600,600,2995,1297,1064,634,0,0,2.28333
3793080295,1,4,10000,3000,600,600,2996,859,1143,571,423,0,2.16667
3793080295,1,5,3000,3000,600,600,2999,2712,236,51,0,0,2.18333
3793080295,1,5,2000,3000,600,600,2999,2716,233,50,0,0,2.13333
3793080295,1,5,4000,3000,600,600,2998,2689,241,68,0,0,2.25
3793080295,1,5,6000,3000,600,600,2997,2084,458,263,192,0,2.13333
3793080295,1,5,8000,3000,600,600,2994,979,935,658,422,0,2.15
3793080295,1,5,10000,3000,600,600,2995,557,1043,613,782,0,2.21667
3824990877,1,1,3000,3000,600,600,3000,2600,396,4,0,0,2.15
3824990877,1,1,2000,3000,600,600,3000,2600,396,4,0,0,2.26667
3824990877,1,1,4000,3000,600,600,3000,2600,396,4,0,0,2.15
3824990877,1,1,6000,3000,600,600,3000,1380,126,2,1492,0,2.21667
3824990877,1,1,8000,3000,600,600,3000,820,46,1,2133,0,2.15
3824990877,1,1,10000,3000,600,600,3000,553,16,0,2431,0,2.25
3824990877,1,2,3000,3000,600,600,2998,2260,485,253,0,0,2.26667
3824990877,1,2,2000,3000,600,600,2998,2260,485,253,0,0,2.13333
3824990877,1,2,4000,3000,600,600,2998,2260,485,253,0,0,2.3
3824990877,1,2,6000,3000,600,600,2998,2260,485,253,0,0,2.3
3824990877,1,2,8000,3000,600,600,2998,2260,485,253,0,0,2.15
3824990877,1,2,10000,3000,600,600,3000,738,26,1,2235,0,2.26667
3824990877,1,3,3000,3000,600,600,3000,2716,233,51,0,0,2.16667
3824990877,1,3,2000,3000,600,600,3000,2716,233,51,0,0,2.28333
3824990877,1,3,4000,3000,600,600,3000,2716,233,51,0,0,2.23333
3824990877,1,3,6000,3000,600,600,3000,2109,184,44,663,0,2.25
3824990877,1,3,8000,3000,600,600,3000,1040,101,22,1837,0,2.15
3824990877,1,3,10000,3000,600,600,3000,554,15,0,2431,0,2.13333
3824990877,1,4,3000,3000,600,600,3000,2640,356,4,0,0,2.3
3824990877,1,4,2000,3000,600,600,3000,2600,396,4,0,0,2.25
3824990877,1,4,4000,3000,600,600,3000,2768,218,14,0,0,2.2
3824990877,1,4,6000,3000,600,600,2999,2367,454,178,0,0,2.18333
3824990877,1,4,8000,3000,600,600,2995,1317,1055,623,0,0,2.15
3824990877,1,4,10000,3000,600,600,2996,876,1133,571,416,0,2.3
3824990877,1,5,3000,3000,600,600,3000,2725,224,51,0,0,2.28333
3824990877,1,5,2000,3000,600,600,3000,2716,233,51,0,0,2.28333
3824990877,1,5,4000,3000,600,600,3000,2683,248,69,0,0,2.25
3824990877,1,5,6000,3000,600,600,2999,2091,448,269,191,0,2.13333
3824990877,1,5,8000,3000,600,600,2997,1021,909,629,438,0,2.26667
3824990877,1,5,10000,3000,600,600,2996,602,991,616,787,0,2.15
